"初始化ROS环境","roscore","启动ROS Master节点"
"创建catkin工作区","mkdir -p ~/catkin_ws/src && cd ~/catkin_ws && catkin_make","创建ROS工作区结构"
"编译工作区","catkin_make","在catkin工作区根目录执行编译"
"创建ROS包","catkin_create_pkg <pkg_name> [dependencies]","在src目录创建新包，如：catkin_create_pkg beginner_tutorials std_msgs rospy roscpp"
"运行节点","rosrun <package_name> <node_name>","例如：rosrun turtlesim turtlesim_node"
"启动launch文件","roslaunch <package_name> <launch_file>","例如：roslaunch beginner_tutorials turtlemimic.launch"
"列出活跃节点","rosnode list","显示当前运行的节点列表"
"查看节点信息","rosnode info /node_name","获取指定节点的详细信息"
"查看话题列表","rostopic list","显示当前活跃的话题"
"发布话题消息","rostopic pub /topic_name message_type args","例如：rostopic pub /turtle1/cmd_vel geometry_msgs/Twist -- '[2.0, 0.0, 0.0]' '[0.0, 0.0, 1.8]'"
"显示话题内容","rostopic echo /topic_name","实时显示指定话题的消息内容"
"查看服务列表","rosservice list","显示当前可用的服务"
"调用服务","rosservice call /service_name args","例如：rosservice call /spawn 2 2 0.2 'turtle2'"
"查看消息类型","rosmsg show message_type","例如：rosmsg show geometry_msgs/Twist"
"保存ROS参数","rosparam dump file.yaml","将当前参数保存到YAML文件"
"加载ROS参数","rosparam load file.yaml","从YAML文件加载参数"
"创建URDF模型","check_urdf model.urdf","验证URDF文件格式"
"可视化模型","roslaunch urdf_tutorial display.launch model:=path/to/your_robot.urdf","在RViz中显示机器人模型"
"记录ROS包","rosbag record -a -O filename.bag","记录所有话题数据到bag文件"
"回放ROS包","rosbag play filename.bag","回放记录的bag文件"
"TF树可视化","rosrun rqt_tf_tree rqt_tf_tree","显示TF坐标变换树"
"查看动态参数","rosrun rqt_reconfigure rqt_reconfigure","动态调整节点参数"